id,Latitude dd,longitude dd,Name,Description,Latitude ddm,Longitude ddm,"W","X","Y","Z"
1,41.137016148119585,-70.46389109218318,AL38,Wind Turbine Generator,41°08.221'N,070°27.833'W,"14,151.70","25,257.20","43,782.79","60,140.10"
2,41.12061682299918,-70.44146626742624,AM39,Wind Turbine Generator,41°07.237'N,070°26.488'W,"14,147.66","25,245.26","43,774.52","60,138.36"
3,41.1203387183196,-70.46352038564844,AM38,Wind Turbine Generator,41°07.220'N,070°27.811'W,"14,155.31","25,256.83","43,776.02","60,137.93"
4,41.10393917973107,-70.44110144886923,AN39,Wind Turbine Generator,41°06.236'N,070°26.466'W,"14,151.27","25,245.20","43,767.75","60,136.19"
5,41.103661237330115,-70.46314999026546,AN38,Wind Turbine Generator,41°06.220'N,070°27.789'W,"14,158.91","25,256.69","43,769.24","60,135.75"
6,41.10337907726921,-70.48519822080807,AN37,Wind Turbine Generator,41°06.203'N,070°29.112'W,"14,166.56","25,268.20","43,770.74","60,135.31"
7,41.103092699720655,-70.50724613582075,AN36,Wind Turbine Generator,41°06.186'N,070°30.435'W,"14,174.22","25,279.74","43,772.23","60,134.86"
8,41.087261485361196,-70.44073693648917,AP39,Wind Turbine Generator,41°05.236'N,070°26.444'W,"14,154.87","25,245.37","43,760.96","60,134.01"
9,41.08753505019507,-70.41869366135856,AP40,Wind Turbine Generator,41°05.252'N,070°25.122'W,"14,147.25","25,234.03","43,759.49","60,134.45"
10,41.087804399492406,-70.39665008501696,AP41,Wind Turbine Generator,41°05.268'N,070°23.799'W,"14,139.65","25,222.74","43,758.01","60,134.90"
11,41.086983705157756,-70.46277990573617,AP38,Wind Turbine Generator,41°05.219'N,070°27.767'W,"14,162.49","25,256.75","43,762.44","60,133.56"
12,41.08670170975427,-70.48482256442723,AP37,Wind Turbine Generator,41°05.202'N,070°29.089'W,"14,170.13","25,268.17","43,763.93","60,133.11"
13,41.08641549932284,-70.50686490789053,AP36,Wind Turbine Generator,41°05.185'N,070°30.412'W,"14,177.78","25,279.62","43,765.41","60,132.66"
14,41.08612507403813,-70.52890693145463,AP35,Wind Turbine Generator,41°05.168'N,070°31.734'W,"14,185.44","25,291.10","43,766.90","60,132.21"
15,41.07058373989613,-70.44037272999282,AQ39,Wind Turbine Generator,41°04.235'N,070°26.422'W,"14,158.44","25,245.73","43,754.17","60,131.82"
16,41.07085714507233,-70.41833502263196,AQ40,Wind Turbine Generator,41°04.251'N,070°25.100'W,"14,150.84","25,234.51","43,752.71","60,132.27"
