Turbine,lat,lon
AL38,41.137016148119585,-70.46389109218318
AM39,41.12061682299918,-70.44146626742624
AM38,41.1203387183196,-70.46352038564844
AN39,41.10393917973107,-70.44110144886923
AN38,41.103661237330115,-70.46314999026546
AN37,41.10337907726921,-70.48519822080807
AN36,41.103092699720655,-70.50724613582075
AP39,41.087261485361196,-70.44073693648917
AP40,41.08753505019507,-70.41869366135856
AP41,41.087804399492406,-70.39665008501696
AP38,41.086983705157756,-70.46277990573617
AP37,41.08670170975427,-70.48482256442723
AP36,41.08641549932284,-70.50686490789053
AP35,41.08612507403813,-70.52890693145463
AQ39,41.07058373989613,-70.44037272999282
AQ40,41.07085714507233,-70.41833502263196
AQ41,41.07112633717097,-70.39629701434849
AQ42,41.07139131602782,-70.37425870981099
AQ38,41.07030612180919,-70.46241013176284
AQ37,41.070024290980875,-70.48444722327422
AQ36,41.06973824758311,-70.50648399985957
AQ35,41.06944799179041,-70.52852045685191
AQ34,41.069153523779846,-70.55055658958473
AR39,41.05390594334247,-70.44000882908738
AR40,41.05417918894069,-70.41797668482808
AR41,41.05444822391911,-70.39594423993408
AR42,41.05471304811365,-70.37391149906955
AR38,41.053628487291114,-70.46204066804825
AR37,41.05334682095582,-70.48407219704733
AR36,41.05306094450834,-70.50610341142168
AR35,41.05277085812305,-70.5281343065088
AR34,41.05247656197682,-70.55016487764665
AR33,41.05217805624912,-70.57219512017352
AS39,41.037228095706794,-70.43964523348043
AS40,41.03750118180663,-70.41761864765894
AS41,41.03777005974323,-70.39559176149028
AS42,41.038034729352624,-70.37356457963416
AS38,41.03695080161017,-70.4616715142955
AS37,41.036669299685826,-70.4836974854452
AS36,41.03638359010537,-70.50572314227108
AS35,41.03609367304298,-70.52774848011511
AS34,41.03579954867536,-70.5497734943196
AS33,41.035501217181825,-70.57179818022739
AS32,41.03519867874423,-70.59382253318172
AT39,41.02055019699572,-70.43928194288003
AT40,41.02082312367673,-70.41726091083703
AT41,41.02109184464978,-70.39523957873399
AT38,41.020273064773086,-70.46130267020817
AT37,41.01999172717774,-70.48332308816697
AT36,41.01970618438109,-70.50534319210244
AT35,41.01941643655718,-70.52736297736097
AT34,41.01912248388255,-70.54938243928933
AT33,41.018824326536325,-70.57140157323481
AU39,41.00387224721587,-70.43891895699454
AU40,41.004145014557466,-70.4169034740752
AU38,41.00359527678658,-70.4609341354902
AU37,41.003314103438335,-70.48294900491216
AU36,41.003028727342404,-70.50496356061083
AV39,40.98719424637386,-70.43855627553283
AV38,40.986917437657354,-70.46056590984603
AV37,40.98663642847442,-70.48257523538071
AW38,40.97023954739214,-70.4601979929804
AM37,41.12006162797112,-70.48516828404483
UXO,41.0675,-70.4413888888889
PAM OCS-A 501,41.0625,-70.47444444444444
