time,sensor,channel,sensor_name,freq,segment_start,time_diff_s
2023-12-01T21:00:02.600000,3dvha,7,Omni Hydrophone,21.24,2023-12-01T21:00:00.000000,
2023-12-01T21:00:12.280000,3dvha,7,Omni Hydrophone,21.04,2023-12-01T21:00:00.000000,9.68
2023-12-01T21:00:21.440000,3dvha,7,Omni Hydrophone,21.68,2023-12-01T21:00:00.000000,9.16
2023-12-01T21:00:31.480000,3dvha,7,Omni Hydrophone,20.8,2023-12-01T21:00:00.000000,10.04
2023-12-01T21:00:40.800000,3dvha,7,Omni Hydrophone,20.8,2023-12-01T21:00:00.000000,9.32
2023-12-01T21:00:50.160000,3dvha,7,Omni Hydrophone,23.34,2023-12-01T21:00:00.000000,9.36
2023-12-01T21:01:00.240000,3dvha,7,Omni Hydrophone,22.51,2023-12-01T21:01:00.000000,10.08
2023-12-01T21:01:09.800000,3dvha,7,Omni Hydrophone,22.51,2023-12-01T21:01:00.000000,9.559999999999999
2023-12-01T21:01:19.200000,3dvha,7,Omni Hydrophone,23.1,2023-12-01T21:01:00.000000,9.4
2023-12-01T21:01:28.960000,3dvha,7,Omni Hydrophone,20.8,2023-12-01T21:01:00.000000,9.76
2023-12-01T21:01:39.600000,3dvha,7,Omni Hydrophone,20.21,2023-12-01T21:01:00.000000,10.639999999999999
2023-12-01T21:01:49.280000,3dvha,7,Omni Hydrophone,19.97,2023-12-01T21:01:00.000000,9.68
2023-12-01T21:01:58.640000,3dvha,7,Omni Hydrophone,23.54,2023-12-01T21:01:00.000000,9.36
2023-12-01T21:02:08.440000,3dvha,7,Omni Hydrophone,23.1,2023-12-01T21:02:00.000000,9.799999999999999
2023-12-01T21:02:17.920000,3dvha,7,Omni Hydrophone,22.71,2023-12-01T21:02:00.000000,9.48
2023-12-01T21:02:27.440000,3dvha,7,Omni Hydrophone,22.9,2023-12-01T21:02:00.000000,9.52
2023-12-01T21:02:38.280000,3dvha,7,Omni Hydrophone,20.8,2023-12-01T21:02:00.000000,10.84
2023-12-01T21:02:48.040000,3dvha,7,Omni Hydrophone,20.61,2023-12-01T21:02:00.000000,9.76
2023-12-01T21:02:58.080000,3dvha,7,Omni Hydrophone,19.78,2023-12-01T21:02:00.000000,10.04
2023-12-01T21:03:07.120000,3dvha,7,Omni Hydrophone,23.34,2023-12-01T21:03:00.000000,9.04
2023-12-01T21:03:16.800000,3dvha,7,Omni Hydrophone,23.34,2023-12-01T21:03:00.000000,9.68
2023-12-01T21:03:26.040000,3dvha,7,Omni Hydrophone,22.71,2023-12-01T21:03:00.000000,9.24
2023-12-01T21:03:35.480000,3dvha,7,Omni Hydrophone,22.9,2023-12-01T21:03:00.000000,9.44
2023-12-01T21:03:45.200000,3dvha,7,Omni Hydrophone,20.61,2023-12-01T21:03:00.000000,9.719999999999999
2023-12-01T21:03:56.040000,3dvha,7,Omni Hydrophone,20.21,2023-12-01T21:03:00.000000,10.84
2023-12-01T21:04:05.560000,3dvha,7,Omni Hydrophone,22.27,2023-12-01T21:04:00.000000,9.52
2023-12-01T21:04:15.120000,3dvha,7,Omni Hydrophone,23.1,2023-12-01T21:04:00.000000,9.559999999999999
2023-12-01T21:04:24.720000,3dvha,7,Omni Hydrophone,21.24,2023-12-01T21:04:00.000000,9.6
2023-12-01T21:04:35.200000,3dvha,7,Omni Hydrophone,19.97,2023-12-01T21:04:00.000000,10.479999999999999
2023-12-01T21:05:27.160000,3dvha,7,Omni Hydrophone,19.38,2023-12-01T21:05:00.000000,
2023-12-01T21:05:36.840000,3dvha,7,Omni Hydrophone,20.41,2023-12-01T21:05:00.000000,9.68
2023-12-01T21:05:46.240000,3dvha,7,Omni Hydrophone,21.24,2023-12-01T21:05:00.000000,9.4
2023-12-01T21:05:56.440000,3dvha,7,Omni Hydrophone,21.04,2023-12-01T21:05:00.000000,10.2
2023-12-01T21:06:06.825000,3dvha,7,Omni Hydrophone,21.44,2023-12-01T21:06:00.000000,10.385
2023-12-01T21:06:16.445000,3dvha,7,Omni Hydrophone,22.07,2023-12-01T21:06:00.000000,9.62
