frequency, sensitivity
10,	-183.08
11,	-182.52
12,	-182.04
13,	-181.63
15,	-180.97
20,	-179.89
25,	-179.29
30,	-178.93
35,	-178.69
40,	-178.53
45,	-178.41
50,	-178.33
60,	-177.48
65,	-177.32
70,	-177.23
75,	-177.24
80,	-177.33
85,	-177.39
90,	-177.38
95,	-177.31
100,	-177.21
105,	-177.10
110,	-177.15
115,	-177.35
120,	-177.68
125,	-178.06
130,	-178.29
135,	-178.40
140,	-178.26
145,	-178.09
150,	-177.98
160,	-177.99
170,	-177.78
180,	-177.74
190,	-177.90
200,	-177.81
210,	-177.56
220,	-177.60
230,	-177.71
240,	-177.54
250,	-177.45
260,	-177.51
270,	-177.57
280,	-177.51
290,	-177.49
300,	-177.50
310,	-177.51
320,	-177.46
330,	-177.48
340,	-177.50
350,	-177.48
360,	-177.44
370,	-177.48
380,	-177.51
390,	-177.35
400,	-177.30
410,	-177.35
420,	-177.36
430,	-177.16
440,	-177.14
450,	-177.21
460,	-177.17
470,	-177.08
480,	-176.98
490,	-177.06
500,	-177.03
510,	-177.05
520,	-177.04
530,	-177.22
540,	-177.43
550,	-177.37
560,	-177.27
570,	-177.42
580,	-177.64
590,	-177.46
600,	-177.52
610,	-177.63
620,	-177.56
630,	-177.34
640,	-177.33
650,	-177.42
660,	-177.34
670,	-177.28
680,	-177.32
690,	-177.32
700,	-177.15
710,	-177.16
720,	-177.28
730,	-177.23
740,	-177.13
750,	-177.16
760,	-177.35
770,	-177.18
780,	-177.00
790,	-177.04
800,	-177.23
850,	-176.92
900,	-177.08
950,	-177.15
1000,	-176.90
1050,	-177.11
1100,	-176.38
1150,	-176.49
1200,	-176.83
1250,	-177.30
1300,	-178.30
1350,	-178.11
1400,	-177.90
1450,	-177.82
1500,	-177.98
1550,	-178.17
1600,	-178.53
1650,	-178.74
1700,	-178.76
1750,	-178.60
1800,	-178.39
1850,	-178.29
1900,	-178.14
1950,	-178.05
2000,	-178.02
2100,	-177.83
2200,	-177.35
2300,	-176.84
2400,	-176.70
2500,	-176.97
2600,	-177.47
2700,	-177.93
2800,	-177.68
2900,	-176.58
3000,	-175.20
