global_sample,global_start,global_end,orig_rms_db,filt_rms_db,rms_diff_db
8359621,8341621,8373621,129.53002915810572,123.32017129792439,6.20985786018133
8389504,8371504,8403504,129.78258841830473,123.56094644875103,6.221641969553701
8420213,8402213,8434213,129.51160979739055,120.31563845541909,9.195971341971457
8451090,8433090,8465090,128.55376357073632,127.15159732755973,1.4021662431765947
8481345,8463345,8495345,130.44411267391212,123.03359369604932,7.410518977862793
8512091,8494091,8526091,130.06430007169436,119.81816653038562,10.246133541308737
8542923,8524923,8556923,131.35030681374818,126.55687510278557,4.793431710962608
8573733,8555733,8587733,130.06102647839708,120.21855324196204,9.84247323643504
8605378,8587378,8619378,130.08327868316977,120.24067996968827,9.842598713481493
8635848,8617848,8649848,131.5548208928477,126.06020091450426,5.494619978343422
8664905,8646905,8678905,130.97951383303385,121.86285800695725,9.116655826076595
8693443,8675443,8707443,130.69225357764557,120.67775167670254,10.014501900943031
8721921,8703921,8735921,130.91201203681277,124.06187014039135,6.85014189642142
8750500,8732500,8764500,130.61439222046263,121.03782508502016,9.576567135442474
8779462,8761462,8793462,130.3866311863517,118.24930550238119,12.137325683970516
8808500,8790500,8822500,130.07987801926015,119.8262014108389,10.253676608421245
8837004,8819004,8851004,129.99714412028226,119.79288366694838,10.204260453333873
8865981,8847981,8879981,130.30128496413172,119.19387221163652,11.107412752495208
8894422,8876422,8908422,130.34576811814068,120.66114471889517,9.68462339924551
8923343,8905343,8937343,130.45514454334221,120.10567736762256,10.349467175719653
8952275,8934275,8966275,130.792716369543,120.62279676937297,10.169919600170033
8980557,8962557,8994557,130.22337702007997,119.18543773082347,11.0379392892565
9009657,8991657,9023657,132.41187723069967,127.49829462610145,4.9135826045982185
9038084,9020084,9052084,130.83161364116674,119.84143299917187,10.990180641994868
9067911,9049911,9081911,130.31934598527903,120.78253691826518,9.536809067013849
9096293,9078293,9110293,130.2942922027345,120.3032187294547,9.991073473279812
9124855,9106855,9138855,130.41560974540965,119.17384548497543,11.241764260434223
9153497,9135497,9167497,130.79466164213127,123.56999308445592,7.224668557675358
9182052,9164052,9196052,130.20235942398094,120.28035976872573,9.921999655255206
9209551,9191551,9223551,133.28143494119698,129.3153711148852,3.9660638263117676
9236798,9218798,9250798,130.84543157114953,121.66580233064295,9.179629240506586
9262965,9244965,9276965,131.1927988998972,120.721553497998,10.47124540189921
9290557,9272557,9304557,130.6782608329328,120.57312982757809,10.105131005354721
9317774,9299774,9331774,130.4428416841947,119.63915472777725,10.803686956417437
9344785,9326785,9358785,131.1137166761764,121.02475808329586,10.088958592880545
9372343,9354343,9386343,131.65453304317563,125.85622440586882,5.798308637306818
9399153,9381153,9413153,133.70639546568037,130.65768945749488,3.0487060081854906
9426578,9408578,9440578,130.71723685471682,119.48480360243245,11.232433252284366
9455802,9437802,9469802,130.73440187333202,121.91381481656101,8.820587056771004
9480921,9462921,9494921,131.1619138826563,122.33087208508694,8.83104179756937
9507958,9489958,9521958,130.50205843061815,120.61661590562608,9.885442524992072
9535279,9517279,9549279,130.5315192219178,120.84830325565355,9.683215966264243
9562029,9544029,9576029,130.56068781065738,121.10212321023239,9.458564600424992
9588843,9570843,9602843,132.92313255023245,129.6191676774272,3.3039648728052384
9616049,9598049,9630049,130.06874632637917,120.56964023990344,9.499106086475734
9643372,9625372,9657372,130.39066634501194,121.52072468622472,8.869941658787212
9670748,9652748,9684748,130.3252761576533,120.23763576703759,10.087640390615704
9695482,9677482,9709482,130.7177604698345,121.70968506547182,9.008075404362685
9720792,9702792,9734792,131.99963233762628,126.62502826495982,5.3746040726664575
9746710,9728710,9760710,132.1134353770421,126.22897349491758,5.884461882124512
9772732,9754732,9786732,132.83673355594766,130.02681737571882,2.8099161802288393
9797992,9779992,9811992,130.3287034381703,121.95401786556499,8.374685572605301
9823749,9805749,9837749,130.75167946575874,122.29429214082609,8.457387324932654
9849981,9831981,9863981,131.09528129780517,122.79436791155312,8.300913386252049
9876619,9858619,9890619,130.63650705150656,122.68109215520055,7.95541489630601
9901420,9883420,9915420,130.03649544874315,123.33241123698829,6.704084211754861
9927630,9909630,9941630,130.09715659960366,122.04471289241582,8.052443707187848
