global_sample,global_start,global_end,orig_rms_db,filt_rms_db,rms_diff_db
8190149,8172571,8203820,126.25747128896785,120.60742340899849,5.650047879969364
8219341,8201763,8233012,126.54358170648764,119.93272611121517,6.610855595272469
8249732,8232154,8263403,126.36510266071252,116.8143059229598,9.55079673775272
8279766,8262188,8293437,123.85390498234555,121.76960919229847,2.0842957900470793
8310045,8292467,8323716,126.90738236525027,117.37298904803724,9.53439331721303
8339054,8321476,8352725,126.91677631946185,116.52376056382765,10.393015755634195
8369162,8351584,8382833,127.29088484792521,117.08116839633965,10.209716451585564
8399247,8381669,8412918,127.21318715747523,116.28380159683942,10.929385560635808
8429487,8411909,8443158,127.13541762021949,114.59455894553402,12.540858674685467
8460445,8442867,8474116,127.57904544665897,117.2460236013387,10.33302184532026
8489332,8471754,8503003,127.63272106513567,117.46654847402283,10.16617259111284
8517205,8499627,8530876,127.43377118455456,115.7752411012485,11.658530083306061
8543968,8526390,8557639,127.46169968070834,114.5628855776952,12.898814103013137
8571881,8554303,8585552,127.4660134102349,114.81099997895939,12.655013431275506
8601191,8583613,8614862,127.38961292622635,116.91921103092307,10.470401895303283
8628520,8610942,8642191,127.0193872374833,114.9142997898434,12.105087447639903
8656358,8638780,8670029,127.43405464594397,115.07623198402175,12.357822661922228
8684651,8667073,8698322,127.48847369023824,115.25490525380275,12.23356843643549
8712423,8694845,8726094,127.27776194480653,115.70879978644447,11.568962158362055
8740668,8723090,8754339,127.23941015414246,115.22070223845813,12.018707915684331
8768927,8751349,8782598,127.54490750355006,115.15876897053538,12.386138533014687
8796552,8778974,8810223,130.20642496434021,127.12161667855638,3.0848082857838364
8825176,8807598,8838847,130.88815698813102,128.66117417418567,2.226982813945341
8853122,8835544,8866793,127.04468486521931,114.65908537400139,12.385599491217917
8881099,8863521,8894770,126.76878616904082,115.00400636741742,11.764779801623405
8908723,8891145,8922394,127.21435584651167,116.25108520296939,10.963270643542273
8936935,8919357,8950606,127.02564075384518,115.58340386840683,11.442236885438348
8965515,8947937,8979186,126.81808540690353,114.090816229958,12.72726917694554
8993200,8975622,9006871,132.4236572366353,130.37364813673295,2.050009099902354
9020035,9002457,9033706,127.61705612472396,115.78644292193212,11.830613202791838
9045920,9028342,9059591,127.19757733718549,116.0898995424146,11.107677794770893
9073055,9055477,9086726,127.6674890149983,115.88327087749151,11.784218137506784
9099281,9081703,9112952,127.67844794647345,116.18207759050016,11.496370355973298
9126238,9108660,9139909,127.13285900673738,115.605699260327,11.527159746410376
9153689,9136111,9167360,127.53193936426518,114.98874094459687,12.543198419668315
9180409,9162831,9194080,133.0737533142535,131.34206320934922,1.7316901049042883
9206051,9188473,9219722,127.3450080019241,116.07570806814216,11.269299933781937
9232841,9215263,9246512,127.39465165096638,115.56754153304647,11.827110117919915
9259584,9242006,9273255,127.28814699599968,117.73603256296613,9.552114433033552
9285377,9267799,9299048,127.66184536622221,118.45656277703651,9.2052825891857
9314393,9296815,9328064,127.33525136548866,117.59605548765603,9.739195877832628
9338264,9320686,9351935,127.62421239828066,116.61589660106515,11.008315797215516
9365119,9347541,9378790,131.42022100752007,130.6086962260731,0.8115247814469626
9390642,9373064,9404313,128.13874591709884,123.05701111326654,5.081734803832305
9417141,9399563,9430812,126.91554588345092,115.87375140381971,11.041794479631207
9443825,9426247,9457496,127.15050782800611,116.92014379641456,10.230364031591549
9470637,9453059,9484308,127.32319874634871,117.72125982834622,9.601938918002489
9494712,9477134,9508383,127.0804075670844,118.31356426577449,8.766843301309905
9519426,9501848,9533097,127.37434901395343,118.05424982749159,9.320099186461846
9547322,9529744,9560993,133.27921277229814,131.1183989767967,2.16081379550144
9571885,9554307,9585556,128.37107484311207,122.55138522017907,5.819689622932998
9595050,9577472,9608721,127.10523111109933,116.69441251581154,10.410818595287793
9619879,9602301,9633550,126.9318553036295,115.09897804043126,11.832877263198242
9647744,9630166,9661415,127.1365967438553,116.64266738146267,10.493929362392635
9671600,9654022,9685271,127.57009333407468,120.19979909893017,7.370294235144513
9695817,9678239,9709488,127.56130331153483,120.0504725196427,7.510830791892133
9720881,9703303,9734552,131.89509983120618,130.30696762630657,1.5881322048996083
9747291,9729713,9760962,131.50968667155072,129.64540719800308,1.86427947354764
9772045,9754467,9785716,127.27160911046334,116.91428225437535,10.357326856087994
9797096,9779518,9810767,127.47037709772621,117.73359542274243,9.736781674983789
9821892,9804314,9835563,127.37340807657753,119.27760495462346,8.095803121954077
9847263,9829685,9860934,127.98155634341023,120.66048857444413,7.321067768966103
9872686,9855108,9886357,127.93358909611042,119.24549692811638,8.688092167994043
9897446,9879868,9911117,127.8221274684598,118.3441302309901,9.477997237469694
9923062,9905484,9936733,127.82225116673436,118.31790005276068,9.504351113973684
9948348,9930770,9962019,132.07530542502252,130.18556663863288,1.8897387863896427
9973654,9956076,9987325,128.01336428528265,115.86498903986545,12.1483752454172
9998971,9981393,10012642,127.6956508890403,116.9317962082417,10.763854680798588
10024028,10006450,10037699,127.88300377995807,118.67760202453519,9.205401755422884
10049549,10031971,10063220,127.91922268888692,119.08797361630506,8.831249072581855
10074935,10057357,10088606,127.4554101104008,118.42771955465923,9.027690555741572
10100246,10082668,10113917,127.4238570786361,117.74926885873887,9.674588219897231
