sensor,timestamp,sample,channel,threshold,distance_s,unix_time_us
3dvha,2023-12-01T21:00:02.811862,56237,5,0.32,7.0,1701464402811862
3dvha,2023-12-01T21:00:12.537059,250741,5,0.32,7.0,1701464412537059
3dvha,2023-12-01T21:00:21.751100,435022,5,0.32,7.0,1701464421751100
3dvha,2023-12-01T21:00:31.650686,633014,5,0.32,7.0,1701464431650686
3dvha,2023-12-01T21:00:41.052734,821055,5,0.32,7.0,1701464441052734
3dvha,2023-12-01T21:00:50.473086,1009462,5,0.32,7.0,1701464450473086
3dvha,2023-12-01T21:01:00.576410,1211528,5,0.32,7.0,1701464460576410
3dvha,2023-12-01T21:01:10.108856,1402177,5,0.32,7.0,1701464470108856
3dvha,2023-12-01T21:01:19.552863,1591057,5,0.32,7.0,1701464479552863
3dvha,2023-12-01T21:01:29.242373,1784847,5,0.32,7.0,1701464489242373
3dvha,2023-12-01T21:01:39.799518,1995990,5,0.32,7.0,1701464499799518
3dvha,2023-12-01T21:01:49.511332,2190227,5,0.32,7.0,1701464509511332
3dvha,2023-12-01T21:01:58.955291,2379106,5,0.32,7.0,1701464518955291
3dvha,2023-12-01T21:02:08.723121,2574462,5,0.32,7.0,1701464528723121
3dvha,2023-12-01T21:02:18.174342,2763487,5,0.32,7.0,1701464538174342
3dvha,2023-12-01T21:02:27.749194,2954984,5,0.32,7.0,1701464547749194
3dvha,2023-12-01T21:02:38.504032,3170081,5,0.32,7.0,1701464558504032
3dvha,2023-12-01T21:02:48.289137,3365783,5,0.32,7.0,1701464568289137
3dvha,2023-12-01T21:02:58.270689,3565414,5,0.32,7.0,1701464578270689
3dvha,2023-12-01T21:03:07.459405,3749188,5,0.32,7.0,1701464587459405
3dvha,2023-12-01T21:03:17.068752,3941375,5,0.32,7.0,1701464597068752
3dvha,2023-12-01T21:03:26.335890,4126718,5,0.32,7.0,1701464606335890
3dvha,2023-12-01T21:03:35.662038,4313241,5,0.32,7.0,1701464615662038
3dvha,2023-12-01T21:03:45.378502,4507570,5,0.32,7.0,1701464625378502
3dvha,2023-12-01T21:03:56.229393,4724588,5,0.32,7.0,1701464636229393
3dvha,2023-12-01T21:04:05.807486,4916150,5,0.32,7.0,1701464645807486
3dvha,2023-12-01T21:04:15.339060,5106781,5,0.32,7.0,1701464655339060
3dvha,2023-12-01T21:04:24.805584,5296112,5,0.32,7.0,1701464664805584
3dvha,2023-12-01T21:05:37.047454,6740949,5,0.32,7.0,1701464737047454
3dvha,2023-12-01T21:05:46.513388,6930268,5,0.32,7.0,1701464746513388
3dvha,2023-12-01T21:05:56.699366,7133987,5,0.32,7.0,1701464756699366
3dvha,2023-12-01T21:06:07.178712,7343574,5,0.32,7.0,1701464767178712
3dvha,2023-12-01T21:06:16.797239,7535945,5,0.32,7.0,1701464776797239
3dvha,2023-12-01T21:06:26.519650,7730393,5,0.32,7.0,1701464786519650
3dvha,2023-12-01T21:06:36.995481,7939910,5,0.32,7.0,1701464796995481
3dvha,2023-12-01T21:06:46.238589,8124772,5,0.32,7.0,1701464806238589
3dvha,2023-12-01T21:06:55.622125,8312442,5,0.32,7.0,1701464815622125
3dvha,2023-12-01T21:07:30.901971,9018039,5,0.32,7.0,1701464850901971
3dvha,2023-12-01T21:07:40.366245,9207325,5,0.32,7.0,1701464860366245
3dvha,2023-12-01T21:07:49.628098,9392562,5,0.32,7.0,1701464869628098
3dvha,2023-12-01T21:07:59.601050,9592021,5,0.32,7.0,1701464879601050
3dvha,2023-12-01T21:08:08.876652,9777533,5,0.32,7.0,1701464888876652
3dvha,2023-12-01T21:08:18.129393,9962588,5,0.32,7.0,1701464898129393
3dvha,2023-12-01T21:08:28.993031,10179861,5,0.32,7.0,1701464908993031
3dvha,2023-12-01T21:08:39.389168,10387783,5,0.32,7.0,1701464919389168
3dvha,2023-12-01T21:08:48.823108,10576462,5,0.32,7.0,1701464928823108
3dvha,2023-12-01T21:08:58.667611,10773352,5,0.32,7.0,1701464938667611
3dvha,2023-12-01T21:09:07.975378,10959508,5,0.32,7.0,1701464947975378
3dvha,2023-12-01T21:09:18.708902,11174178,5,0.32,7.0,1701464958708902
3dvha,2023-12-01T21:09:28.375480,11367510,5,0.32,7.0,1701464968375480
3dvha,2023-12-01T21:09:37.588804,11551776,5,0.32,7.0,1701464977588804
3dvha,2023-12-01T21:09:47.150289,11743006,5,0.32,7.0,1701464987150289
3dvha,2023-12-01T21:09:57.636889,11952738,5,0.32,7.0,1701464997636889
3dvha,2023-12-01T21:10:06.920600,12138412,5,0.32,7.0,1701465006920600
3dvha,2023-12-01T21:10:16.746250,12334925,5,0.32,7.0,1701465016746250
3dvha,2023-12-01T21:10:26.923838,12538477,5,0.32,7.0,1701465026923838
3dvha,2023-12-01T21:12:01.540248,14430805,5,0.32,7.0,1701465121540248
3dvha,2023-12-01T21:12:10.871360,14617427,5,0.32,7.0,1701465130871360
3dvha,2023-12-01T21:12:21.753667,14835073,5,0.32,7.0,1701465141753667
3dvha,2023-12-01T21:12:30.952709,15019054,5,0.32,7.0,1701465150952709
3dvha,2023-12-01T21:12:40.600734,15212015,5,0.32,7.0,1701465160600734
3dvha,2023-12-01T21:12:50.287184,15405744,5,0.32,7.0,1701465170287184
3dvha,2023-12-01T21:12:59.937538,15598751,5,0.32,7.0,1701465179937538
3dvha,2023-12-01T21:13:09.397279,15787946,5,0.32,7.0,1701465189397279
3dvha,2023-12-01T21:13:19.469594,15989392,5,0.32,7.0,1701465199469594
3dvha,2023-12-01T21:13:29.022280,16180446,5,0.32,7.0,1701465209022280
3dvha,2023-12-01T21:13:38.146757,16362935,5,0.32,7.0,1701465218146757
3dvha,2023-12-01T21:13:47.569631,16551393,5,0.32,7.0,1701465227569631
3dvha,2023-12-01T21:13:56.723488,16734470,5,0.32,7.0,1701465236723488
3dvha,2023-12-01T21:14:06.833839,16936677,5,0.32,7.0,1701465246833839
3dvha,2023-12-01T21:14:17.351689,17147034,5,0.32,7.0,1701465257351689
3dvha,2023-12-01T21:14:26.760219,17335204,5,0.32,7.0,1701465266760219
3dvha,2023-12-01T21:14:36.721975,17534440,5,0.32,7.0,1701465276721975
3dvha,2023-12-01T21:14:45.687674,17713753,5,0.32,7.0,1701465285687674
3dvha,2023-12-01T21:14:55.344855,17906897,5,0.32,7.0,1701465295344855
3dvha,2023-12-01T21:15:04.680449,18093609,5,0.32,7.0,1701465304680449
3dvha,2023-12-01T21:15:14.045451,18280909,5,0.32,7.0,1701465314045451
3dvha,2023-12-01T21:15:24.100081,18482002,5,0.32,7.0,1701465324100081
3dvha,2023-12-01T21:15:33.706264,18674125,5,0.32,7.0,1701465333706264
3dvha,2023-12-01T21:15:42.833004,18856660,5,0.32,7.0,1701465342833004
3dvha,2023-12-01T21:15:52.044558,19040891,5,0.32,7.0,1701465352044558
3dvha,2023-12-01T21:16:01.501857,19230037,5,0.32,7.0,1701465361501857
3dvha,2023-12-01T21:16:10.964092,19419282,5,0.32,7.0,1701465370964092
3dvha,2023-12-01T21:16:20.457681,19609154,5,0.32,7.0,1701465380457681
3dvha,2023-12-01T21:16:30.889858,19817797,5,0.32,7.0,1701465390889858
3dvha,2023-12-01T21:16:39.864374,19997287,5,0.32,7.0,1701465399864374
3dvha,2023-12-01T21:16:49.464959,20189299,5,0.32,7.0,1701465409464959
3dvha,2023-12-01T21:16:58.929373,20378587,5,0.32,7.0,1701465418929373
3dvha,2023-12-01T21:17:07.906450,20558129,5,0.32,7.0,1701465427906450
3dvha,2023-12-01T21:17:17.085759,20741715,5,0.32,7.0,1701465437085759
3dvha,2023-12-01T21:17:26.701737,20934035,5,0.32,7.0,1701465446701737
3dvha,2023-12-01T21:17:37.143946,21142879,5,0.32,7.0,1701465457143946
3dvha,2023-12-01T21:17:47.946164,21358923,5,0.32,7.0,1701465467946164
3dvha,2023-12-01T21:17:57.780576,21555612,5,0.32,7.0,1701465477780576
3dvha,2023-12-01T21:18:07.466192,21749324,5,0.32,7.0,1701465487466192
3dvha,2023-12-01T21:18:16.951311,21939026,5,0.32,7.0,1701465496951311
3dvha,2023-12-01T21:18:25.325468,22106509,5,0.32,7.0,1701465505325468
3dvha,2023-12-01T21:19:56.925889,23938518,5,0.32,7.0,1701465596925889
3dvha,2023-12-01T21:20:06.640092,24132802,5,0.32,7.0,1701465606640092
3dvha,2023-12-01T21:20:17.168888,24343378,5,0.32,7.0,1701465617168888
3dvha,2023-12-01T21:20:27.009028,24540181,5,0.32,7.0,1701465627009028
3dvha,2023-12-01T21:20:36.243325,24724867,5,0.32,7.0,1701465636243325
3dvha,2023-12-01T21:20:45.430659,24908613,5,0.32,7.0,1701465645430659
3dvha,2023-12-01T21:20:54.966049,25099321,5,0.32,7.0,1701465654966049
3dvha,2023-12-01T21:21:04.425282,25288506,5,0.32,7.0,1701465664425282
3dvha,2023-12-01T21:21:13.920392,25478408,5,0.32,7.0,1701465673920392
3dvha,2023-12-01T21:21:24.029730,25680595,5,0.32,7.0,1701465684029730
3dvha,2023-12-01T21:21:32.852872,25857057,5,0.32,7.0,1701465692852872
3dvha,2023-12-01T21:21:42.416489,26048330,5,0.32,7.0,1701465702416489
3dvha,2023-12-01T21:21:51.638969,26232779,5,0.32,7.0,1701465711638969
3dvha,2023-12-01T21:22:01.779668,26435593,5,0.32,7.0,1701465721779668
3dvha,2023-12-01T21:22:11.570382,26631408,5,0.32,7.0,1701465731570382
3dvha,2023-12-01T21:22:20.746921,26814938,5,0.32,7.0,1701465740746921
3dvha,2023-12-01T21:22:30.344572,27006891,5,0.32,7.0,1701465750344572
3dvha,2023-12-01T21:22:39.524945,27190499,5,0.32,7.0,1701465759524945
3dvha,2023-12-01T21:22:49.285780,27385716,5,0.32,7.0,1701465769285780
3dvha,2023-12-01T21:22:58.552764,27571055,5,0.32,7.0,1701465778552764
3dvha,2023-12-01T21:23:07.796351,27755927,5,0.32,7.0,1701465787796351
3dvha,2023-12-01T21:23:17.375171,27947503,5,0.32,7.0,1701465797375171
3dvha,2023-12-01T21:23:26.469410,28129388,5,0.32,7.0,1701465806469410
3dvha,2023-12-01T21:23:35.763707,28315274,5,0.32,7.0,1701465815763707
3dvha,2023-12-01T21:23:45.895844,28517917,5,0.32,7.0,1701465825895844
3dvha,2023-12-01T21:23:56.397410,28727948,5,0.32,7.0,1701465836397410
3dvha,2023-12-01T21:24:05.965387,28919308,5,0.32,7.0,1701465845965387
3dvha,2023-12-01T21:25:21.635912,30432718,5,0.32,7.0,1701465921635912
3dvha,2023-12-01T21:25:32.589206,30651784,5,0.32,7.0,1701465932589206
3dvha,2023-12-01T21:25:41.674504,30833490,5,0.32,7.0,1701465941674504
3dvha,2023-12-01T21:25:51.164193,31023284,5,0.32,7.0,1701465951164193
3dvha,2023-12-01T21:26:00.762329,31215247,5,0.32,7.0,1701465960762329
3dvha,2023-12-01T21:26:11.371982,31427440,5,0.32,7.0,1701465971371982
3dvha,2023-12-01T21:26:21.087910,31621758,5,0.32,7.0,1701465981087910
3dvha,2023-12-01T21:26:30.601012,31812020,5,0.32,7.0,1701465990601012
3dvha,2023-12-01T21:26:39.896838,31997937,5,0.32,7.0,1701465999896838
3dvha,2023-12-01T21:28:25.085979,34101720,5,0.32,7.0,1701466105085979
3dvha,2023-12-01T21:28:44.614238,34492285,5,0.32,7.0,1701466124614238
3dvha,2023-12-01T21:28:53.391491,34667830,5,0.32,7.0,1701466133391491
3dvha,2023-12-01T21:29:02.980184,34859604,5,0.32,7.0,1701466142980184
3dvha,2023-12-01T21:29:12.026450,35040529,5,0.32,7.0,1701466152026450
3dvha,2023-12-01T21:29:21.326959,35226539,5,0.32,7.0,1701466161326959
3dvha,2023-12-01T21:29:31.111439,35422229,5,0.32,7.0,1701466171111439
3dvha,2023-12-01T21:29:40.719718,35614394,5,0.32,7.0,1701466180719718
3dvha,2023-12-01T21:29:50.962270,35819245,5,0.32,7.0,1701466190962270
3dvha,2023-12-01T21:30:00.230139,36004603,5,0.32,7.0,1701466200230139
3dvha,2023-12-01T21:30:09.535371,36190707,5,0.32,7.0,1701466209535371
3dvha,2023-12-01T21:30:19.946033,36398921,5,0.32,7.0,1701466219946033
3dvha,2023-12-01T21:30:29.202843,36584057,5,0.32,7.0,1701466229202843
3dvha,2023-12-01T21:30:38.538506,36770770,5,0.32,7.0,1701466238538506
3dvha,2023-12-01T21:30:48.120689,36962414,5,0.32,7.0,1701466248120689
3dvha,2023-12-01T21:30:57.263053,37145261,5,0.32,7.0,1701466257263053
3dvha,2023-12-01T21:31:06.981097,37339622,5,0.32,7.0,1701466266981097
3dvha,2023-12-01T21:31:16.126464,37522529,5,0.32,7.0,1701466276126464
3dvha,2023-12-01T21:31:25.821824,37716436,5,0.32,7.0,1701466285821824
3dvha,2023-12-01T21:31:35.367553,37907351,5,0.32,7.0,1701466295367553
3dvha,2023-12-01T21:31:44.845162,38096903,5,0.32,7.0,1701466304845162
3dvha,2023-12-01T21:31:55.111131,38302223,5,0.32,7.0,1701466315111131
3dvha,2023-12-01T21:32:05.409069,38508181,5,0.32,7.0,1701466325409069
3dvha,2023-12-01T21:32:14.253241,38685065,5,0.32,7.0,1701466334253241
3dvha,2023-12-01T21:32:23.207241,38864145,5,0.32,7.0,1701466343207241
3dvha,2023-12-01T21:32:32.871517,39057430,5,0.32,7.0,1701466352871517
3dvha,2023-12-01T21:32:42.216313,39244326,5,0.32,7.0,1701466362216313
3dvha,2023-12-01T21:32:51.807760,39436155,5,0.32,7.0,1701466371807760
3dvha,2023-12-01T21:33:01.405281,39628106,5,0.32,7.0,1701466381405281
3dvha,2023-12-01T21:33:11.164148,39823283,5,0.32,7.0,1701466391164148
3dvha,2023-12-01T21:33:20.672900,40013458,5,0.32,7.0,1701466400672900
3dvha,2023-12-01T21:34:44.946803,41698936,5,0.32,7.0,1701466484946803
3dvha,2023-12-01T21:34:54.641059,41892821,5,0.32,7.0,1701466494641059
3dvha,2023-12-01T21:35:03.658721,42073174,5,0.32,7.0,1701466503658721
3dvha,2023-12-01T21:35:13.456028,42269121,5,0.32,7.0,1701466513456028
3dvha,2023-12-01T21:35:22.707067,42454141,5,0.32,7.0,1701466522707067
3dvha,2023-12-01T21:35:31.557101,42631142,5,0.32,7.0,1701466531557101
3dvha,2023-12-01T21:35:41.063488,42821270,5,0.32,7.0,1701466541063488
3dvha,2023-12-01T21:35:50.961660,43019233,5,0.32,7.0,1701466550961660
3dvha,2023-12-01T21:36:01.583421,43231668,5,0.32,7.0,1701466561583421
3dvha,2023-12-01T21:36:11.173191,43423464,5,0.32,7.0,1701466571173191
3dvha,2023-12-01T21:36:20.426276,43608526,5,0.32,7.0,1701466580426276
3dvha,2023-12-01T21:36:31.174813,43823496,5,0.32,7.0,1701466591174813
3dvha,2023-12-01T21:36:40.582319,44011646,5,0.32,7.0,1701466600582319
3dvha,2023-12-01T21:36:49.994844,44199897,5,0.32,7.0,1701466609994844
3dvha,2023-12-01T21:36:59.504040,44390081,5,0.32,7.0,1701466619504040
3dvha,2023-12-01T21:37:08.939760,44578795,5,0.32,7.0,1701466628939760
3dvha,2023-12-01T21:37:18.571839,44771437,5,0.32,7.0,1701466638571839
3dvha,2023-12-01T21:37:28.308436,44966169,5,0.32,7.0,1701466648308436
3dvha,2023-12-01T21:37:37.634766,45152695,5,0.32,7.0,1701466657634766
3dvha,2023-12-01T21:37:48.274817,45365496,5,0.32,7.0,1701466668274817
3dvha,2023-12-01T21:37:57.806266,45556125,5,0.32,7.0,1701466677806266
3dvha,2023-12-01T21:38:07.362317,45747246,5,0.32,7.0,1701466687362317
3dvha,2023-12-01T21:38:16.698552,45933971,5,0.32,7.0,1701466696698552
3dvha,2023-12-01T21:38:25.828507,46116570,5,0.32,7.0,1701466705828507
3dvha,2023-12-01T21:38:35.273057,46305461,5,0.32,7.0,1701466715273057
3dvha,2023-12-01T21:38:44.516889,46490338,5,0.32,7.0,1701466724516889
3dvha,2023-12-01T21:38:54.029882,46680598,5,0.32,7.0,1701466734029882
3dvha,2023-12-01T21:39:04.750331,46895007,5,0.32,7.0,1701466744750331
3dvha,2023-12-01T21:39:14.928092,47098562,5,0.32,7.0,1701466754928092
3dvha,2023-12-01T21:39:24.488681,47289774,5,0.32,7.0,1701466764488681
3dvha,2023-12-01T21:39:34.218651,47484373,5,0.32,7.0,1701466774218651
3dvha,2023-12-01T21:39:44.459015,47689180,5,0.32,7.0,1701466784459015
3dvha,2023-12-01T21:39:54.195373,47883907,5,0.32,7.0,1701466794195373
3dvha,2023-12-01T21:40:03.524642,48070493,5,0.32,7.0,1701466803524642
3dvha,2023-12-01T21:40:14.307316,48286146,5,0.32,7.0,1701466814307316
3dvha,2023-12-01T21:40:23.660320,48473206,5,0.32,7.0,1701466823660320
3dvha,2023-12-01T21:40:33.039342,48660787,5,0.32,7.0,1701466833039342
3dvha,2023-12-01T21:40:42.895957,48857919,5,0.32,7.0,1701466842895957
3dvha,2023-12-01T21:40:52.760553,49055211,5,0.32,7.0,1701466852760553
3dvha,2023-12-01T21:42:56.557163,51531143,5,0.32,7.0,1701466976557163
3dvha,2023-12-01T21:43:05.949346,51718987,5,0.32,7.0,1701466985949346
3dvha,2023-12-01T21:43:16.033625,51920673,5,0.32,7.0,1701466996033625
3dvha,2023-12-01T21:43:25.601576,52112032,5,0.32,7.0,1701467005601576
3dvha,2023-12-01T21:43:35.493971,52309879,5,0.32,7.0,1701467015493971
3dvha,2023-12-01T21:43:46.032124,52520642,5,0.32,7.0,1701467026032124
3dvha,2023-12-01T21:43:55.843659,52716873,5,0.32,7.0,1701467035843659
3dvha,2023-12-01T21:44:05.149273,52902985,5,0.32,7.0,1701467045149273
3dvha,2023-12-01T21:50:35.800457,60716009,5,0.32,7.0,1701467435800457
3dvha,2023-12-01T21:52:32.984106,63059682,5,0.32,7.0,1701467552984106
3dvha,2023-12-01T21:55:56.588960,67131779,5,0.32,7.0,1701467756588960
3dvha,2023-12-01T21:56:47.119377,68142388,5,0.32,7.0,1701467807119377
3dvha,2023-12-01T22:00:49.614790,72992296,5,0.32,7.0,1701468049614790
3dvha,2023-12-01T22:01:51.104019,74222080,5,0.32,7.0,1701468111104019
3dvha,2023-12-01T22:03:39.601426,76392029,5,0.32,7.0,1701468219601426
3dvha,2023-12-01T22:05:04.085164,78081703,5,0.32,7.0,1701468304085164
3dvha,2023-12-01T22:05:40.884230,78817685,5,0.32,7.0,1701468340884230
3dvha,2023-12-01T22:06:06.889643,79337793,5,0.32,7.0,1701468366889643
3dvha,2023-12-01T22:12:21.810075,86836202,5,0.32,7.0,1701468741810075
3dvha,2023-12-01T22:12:35.802635,87116053,5,0.32,7.0,1701468755802635
3dvha,2023-12-01T22:12:55.444525,87508891,5,0.32,7.0,1701468775444525
3dvha,2023-12-01T22:13:41.885029,88437701,5,0.32,7.0,1701468821885029
3dvha,2023-12-01T22:14:46.621517,89732430,5,0.32,7.0,1701468886621517
3dvha,2023-12-01T22:15:18.010875,90360217,5,0.32,7.0,1701468918010875
3dvha,2023-12-01T22:15:27.499423,90549988,5,0.32,7.0,1701468927499423
3dvha,2023-12-01T22:15:36.796822,90735936,5,0.32,7.0,1701468936796822
3dvha,2023-12-01T22:15:46.350603,90927012,5,0.32,7.0,1701468946350603
3dvha,2023-12-01T22:15:56.048284,91120966,5,0.32,7.0,1701468956048284
3dvha,2023-12-01T22:16:05.913865,91318277,5,0.32,7.0,1701468965913865
3dvha,2023-12-01T22:16:15.543841,91510877,5,0.32,7.0,1701468975543841
3dvha,2023-12-01T22:16:26.574467,91731489,5,0.32,7.0,1701468986574467
3dvha,2023-12-01T22:16:37.002748,91940055,5,0.32,7.0,1701468997002748
3dvha,2023-12-01T22:16:46.510826,92130217,5,0.32,7.0,1701469006510826
3dvha,2023-12-01T22:16:55.611602,92312232,5,0.32,7.0,1701469015611602
3dvha,2023-12-01T22:17:04.870914,92497418,5,0.32,7.0,1701469024870914
3dvha,2023-12-01T22:17:14.114676,92682294,5,0.32,7.0,1701469034114676
3dvha,2023-12-01T22:17:24.029190,92880584,5,0.32,7.0,1701469044029190
3dvha,2023-12-01T22:17:33.661171,93073223,5,0.32,7.0,1701469053661171
3dvha,2023-12-01T22:17:42.955752,93259115,5,0.32,7.0,1701469062955752
3dvha,2023-12-01T22:17:53.233949,93464679,5,0.32,7.0,1701469073233949
3dvha,2023-12-01T22:18:03.432194,93668644,5,0.32,7.0,1701469083432194
3dvha,2023-12-01T22:18:13.462313,93869246,5,0.32,7.0,1701469093462313
3dvha,2023-12-01T22:18:22.671158,94053423,5,0.32,7.0,1701469102671158
3dvha,2023-12-01T22:18:32.040951,94240819,5,0.32,7.0,1701469112040951
3dvha,2023-12-01T22:18:41.710253,94434205,5,0.32,7.0,1701469121710253
3dvha,2023-12-01T22:18:50.986972,94619739,5,0.32,7.0,1701469130986972
3dvha,2023-12-01T22:19:00.488071,94809761,5,0.32,7.0,1701469140488071
3dvha,2023-12-01T22:19:10.161050,95003221,5,0.32,7.0,1701469150161050
3dvha,2023-12-01T22:19:19.338129,95186763,5,0.32,7.0,1701469159338129
3dvha,2023-12-01T22:19:29.671739,95393435,5,0.32,7.0,1701469169671739
3dvha,2023-12-01T22:19:39.276374,95585527,5,0.32,7.0,1701469179276374
3dvha,2023-12-01T22:19:48.593786,95771876,5,0.32,7.0,1701469188593786
3dvha,2023-12-01T22:19:58.497900,95969958,5,0.32,7.0,1701469198497900
3dvha,2023-12-01T22:20:07.853708,96157074,5,0.32,7.0,1701469207853708
3dvha,2023-12-01T22:20:17.069972,96341399,5,0.32,7.0,1701469217069972
3dvha,2023-12-01T22:20:26.708777,96534176,5,0.32,7.0,1701469226708777
3dvha,2023-12-01T22:20:36.503853,96730077,5,0.32,7.0,1701469236503853
3dvha,2023-12-01T22:20:45.925791,96918516,5,0.32,7.0,1701469245925791
3dvha,2023-12-01T22:20:55.487727,97109755,5,0.32,7.0,1701469255487727
3dvha,2023-12-01T22:21:04.684648,97293693,5,0.32,7.0,1701469264684648
3dvha,2023-12-01T22:21:14.590938,97491819,5,0.32,7.0,1701469274590938
3dvha,2023-12-01T22:21:23.673403,97673468,5,0.32,7.0,1701469283673403
3dvha,2023-12-01T22:21:32.964190,97859284,5,0.32,7.0,1701469292964190
3dvha,2023-12-01T22:21:43.509115,98070182,5,0.32,7.0,1701469303509115
3dvha,2023-12-01T22:22:55.522705,99510454,5,0.32,7.0,1701469375522705
3dvha,2023-12-01T22:23:29.757599,100195152,5,0.32,7.0,1701469409757599
3dvha,2023-12-01T22:23:39.680449,100393609,5,0.32,7.0,1701469419680449
3dvha,2023-12-01T22:23:48.991604,100579832,5,0.32,7.0,1701469428991604
3dvha,2023-12-01T22:23:57.643954,100752879,5,0.32,7.0,1701469437643954
3dvha,2023-12-01T22:24:07.966900,100959338,5,0.32,7.0,1701469447966900
3dvha,2023-12-01T22:24:17.492484,101149850,5,0.32,7.0,1701469457492484
3dvha,2023-12-01T22:24:27.284138,101345683,5,0.32,7.0,1701469467284138
3dvha,2023-12-01T22:24:37.968103,101559362,5,0.32,7.0,1701469477968103
3dvha,2023-12-01T22:24:47.728511,101754570,5,0.32,7.0,1701469487728511
3dvha,2023-12-01T22:24:57.440920,101948818,5,0.32,7.0,1701469497440920
3dvha,2023-12-01T22:25:06.606574,102132131,5,0.32,7.0,1701469506606574
3dvha,2023-12-01T22:25:16.446152,102328923,5,0.32,7.0,1701469516446152
3dvha,2023-12-01T22:25:26.978795,102539576,5,0.32,7.0,1701469526978795
3dvha,2023-12-01T22:25:36.610669,102732213,5,0.32,7.0,1701469536610669
3dvha,2023-12-01T22:25:46.628314,102932566,5,0.32,7.0,1701469546628314
3dvha,2023-12-01T22:25:56.173691,103123474,5,0.32,7.0,1701469556173691
3dvha,2023-12-01T22:26:05.315115,103306302,5,0.32,7.0,1701469565315115
3dvha,2023-12-01T22:26:14.515699,103490314,5,0.32,7.0,1701469574515699
3dvha,2023-12-01T22:26:24.134721,103682694,5,0.32,7.0,1701469584134721
3dvha,2023-12-01T22:26:33.782168,103875643,5,0.32,7.0,1701469593782168
3dvha,2023-12-01T22:26:43.754674,104075093,5,0.32,7.0,1701469603754674
