mooring_name,mooring_full_name,plotting_name,latitude,longitude,water_depth_m,sensor_name,sensor_sn,hydrophone_sensitivity_db_re_1v_upa,sensor_channel,sensor_depth,easting,northing,ref_lat,ref_lon,dist_to_pile_m
3DVHA,3DVHA,3D VHA,41.07138,-70.35634,39.0,CH-0 Hydrophone,238140,-203.3,0,21.0,-1005.1704422473247,3.4005845431225916,41.07135,-70.34438,13159.782182536655
3DVHA,3DVHA,3D VHA,41.07138,-70.35634,39.0,CH-1 Hydrophone,238142,-203.3,1,21.0,-1005.1704422473247,3.4005845431225916,41.07135,-70.34438,13159.782182536655
3DVHA,3DVHA,3D VHA,41.07138,-70.35634,39.0,CH-2 Hydrophone,238143,-203.3,2,21.0,-1005.1704422473247,3.4005845431225916,41.07135,-70.34438,13159.782182536655
3DVHA,3DVHA,3D VHA,41.07138,-70.35634,39.0,CH-3 Hydrophone,238146,-203.2,3,21.0,-1005.1704422473247,3.4005845431225916,41.07135,-70.34438,13159.782182536655
VLA1,SHRU905_VLA1,VLA 1,41.07135,-70.34438,38.5,CH-0 Hydrophone,722017,-203.9,0,16.2,0.0,0.0,41.07135,-70.34438,14131.447648986416
VLA1,SHRU905_VLA1,VLA 1,41.07135,-70.34438,38.5,CH-1 Hydrophone,722019,-204.0,1,17.7,0.0,0.0,41.07135,-70.34438,14131.447648986416
VLA1,SHRU905_VLA1,VLA 1,41.07135,-70.34438,38.5,CH-2 Hydrophone,722020,-203.9,2,21.3,0.0,0.0,41.07135,-70.34438,14131.447648986416
VLA1,SHRU905_VLA1,VLA 1,41.07135,-70.34438,38.5,CH-3 Hydrophone,722022,-204.1,3,22.8,0.0,0.0,41.07135,-70.34438,14131.447648986416
VLA2,SHRU920_VLA2,VLA 2,41.07133,-70.28457,32.5,CH-0 Hydrophone,722013,-204.0,0,16.3,5026.695586576725,-0.49738034177599766,41.07135,-70.34438,19039.78480457105
VLA2,SHRU920_VLA2,VLA 2,41.07133,-70.28457,32.5,CH-1 Hydrophone,722014,-204.1,1,17.8,5026.695586576725,-0.49738034177599766,41.07135,-70.34438,19039.78480457105
VLA2,SHRU920_VLA2,VLA 2,41.07133,-70.28457,32.5,CH-2 Hydrophone,722015,-204.0,2,21.4,5026.695586576725,-0.49738034177599766,41.07135,-70.34438,19039.78480457105
VLA2,SHRU920_VLA2,VLA 2,41.07133,-70.28457,32.5,CH-3 Hydrophone,722016,-204.2,3,22.9,5026.695586576725,-0.49738034177599766,41.07135,-70.34438,19039.78480457105
